Fighter_iD,Name,Record,Height,Weight,Reach,STANCE,DOB,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.
1576,Jeremy Jackson, 9-5-0,"5' 10""",170,--,Orthodox,"Sep 19, 1982",0.71,27,2.03,25,1.52,40,58,0
1577,Steve Jennum, 2-3-0,"5' 10""",215,--,Orthodox,--,0,0,0,0,0,0,0,0
1578,Quinton Jackson, 37-12-0,"6' 1""",205,"73""",Orthodox,"Jun 20, 1978",3.25,54,2.51,55,1.52,56,73,0.1
1579,Ronald Jhun, 24-26-2,"5' 11""",170,--,Orthodox,"Sep 21, 1970",1.45,57,3.01,50,1.81,100,100,0
1580,Mason Jones, 10-1-0 (1 NC),"5' 10""",155,"74""",Orthodox,"Apr 26, 1995",7.33,40,5.31,50,2.02,42,76,0
1581,Da-Un Jung, 14-2-1,"6' 4""",205,"78""",Orthodox,"Dec 07, 1993",3.95,45,3.9,54,2.79,61,88,0.3
1582,Marcus Jones, 4-2-0,"6' 6""",265,--,Orthodox,"Aug 15, 1973",1.94,52,2.71,58,8.71,75,0,2.9
1583,Miles Johns, 11-1-0,"5' 7""",135,"66""",Orthodox,"Mar 30, 1994",3.33,48,2.42,68,1.21,30,87,0
1584,Myles Jury, 17-4-0,"5' 10""",145,"73""",Orthodox,"Oct 31, 1988",2.94,42,2.16,66,2.16,55,50,0.3
1585,Devin Johnson, 1-1-1,--,--,--,,--,0,0,0,0,0,0,0,0
1586,Dustin Jacoby, 14-5-1,"6' 3""",205,"76""",Orthodox,"Apr 04, 1988",4.03,48,3.27,59,0.36,50,61,0
1587,Cristiane Justino, 21-2-0 (1 NC),"5' 8""",145,"68""",Orthodox,"Jul 09, 1985",7.28,52,2.25,64,0.66,55,94,0.4
1588,Bubba Jenkins, 11-4-0,"5' 7""",145,--,,"Feb 05, 1988",2.41,37,1.58,67,7.23,68,100,0
1589,Kyle Jensen, 4-11-2,"5' 9""",170,--,Orthodox,"Jul 20, 1979",0,0,0.92,60,6.92,100,0,6.9
1590,DaMarques Johnson, 15-15-0,"6' 1""",170,"75""",Orthodox,"Jun 28, 1982",2.11,37,3.75,51,1.18,55,19,0.7
1591,Roshaun Jones, 2-6-0,"5' 8""",135,--,,--,0,0,0,0,0,0,0,0
1592,Carlton Jones, 1-4-0,"6' 1""",225,--,Orthodox,--,2.32,41,3.58,56,4.02,50,57,2.7
1593,Young Sam Jung, 4-8-0,"5' 8""",139,--,Orthodox,"Oct 27, 1985",0.53,9,2.79,63,0,0,0,2
1594,Justin Jaynes, 16-7-0,"5' 7""",155,"68""",Orthodox,"Aug 10, 1989",3.58,42,6.49,58,0,0,33,0.6
1595,Virna Jandiroba, 17-2-0,"5' 3""",115,"64""",Orthodox,"May 30, 1988",2.65,46,2.92,53,2.5,53,75,1.9
1596,Charles Jourdain, 11-3-1,"5' 9""",145,"69""",Switch,"Nov 27, 1995",4.79,45,4.11,61,0,0,47,0.7
1597,Yves Jabouin, 20-11-0,"5' 7""",135,"68""",Orthodox,"May 30, 1979",3.06,41,2.93,62,1.94,60,82,0.1
1598,Bu-Kyung Jung, 0-4-0,"5' 7""",154,--,Orthodox,"May 26, 1978",0.63,36,1.85,56,1.1,75,0,1.5
1599,Kajan Johnson, 23-13-1,"5' 11""",155,"75""",Orthodox,"Apr 21, 1984",2.47,42,1.59,64,1.54,37,62,0.2
1600,Roy Jones, 7-5-0,--,205,--,,"Oct 26, 1983",0,0,0,0,0,0,0,0
1601,Adrienna Jenkins, 19-6-0,"5' 8""",145,--,,"Jul 22, 1981",0,0,0,0,0,0,0,0
1602,Gilbert Jimenez, 8-12-1 (1 NC),--,155,--,,--,0,0,0,0,0,0,0,0
1603,Chris Jones, 10-5-0,"5' 9""",149,--,,"Nov 16, 1981",0,0,0,0,0,0,0,0
1604,Scott Junk, 8-3-1 (1 NC),"6' 1""",265,--,Orthodox,"Dec 17, 1978",5.13,60,1.81,45,0,0,0,0
1605,Jason Jackson, 7-2-0,"6' 1""",170,"78""",Orthodox,"Oct 30, 1990",2.24,48,1.31,56,0,0,0,0
1606,Ryan Janes, 10-3-0,"6' 3""",185,"76""",Orthodox,"Aug 22, 1981",7.69,48,5.53,59,0.35,100,58,0
1607,Jesse Juarez, 23-12-0,"6' 1""",170,--,Orthodox,"May 08, 1981",1.71,48,2.87,52,2.69,33,50,0
1608,Joanna Jedrzejczyk, 16-4-0,"5' 6""",115,"65""",Orthodox,"Aug 18, 1987",6.3,48,3.08,64,0.28,62,81,0.1
1609,Ivan Jorge, 27-7-0,"5' 9""",155,"73""",Orthodox,"Nov 07, 1980",3.41,49,2.91,59,1.56,16,75,0.6
1610,Dustin Joynson, 5-0-0 (1 NC),"6' 6""",244,"78""",Orthodox,"Oct 14, 1985",3.28,53,5.63,47,0,0,0,0
1611,Ryan Keenan, 6-2-0,"5' 10""",170,--,,"Jun 15, 1985",0,0,0,0,0,0,0,0
1612,Brad Katona, 8-2-0,"5' 6""",135,"64""",Orthodox,"Dec 19, 1991",3.33,51,2.98,57,1.25,22,47,0
1613,Yusuke Kasuya, 9-3-0,"5' 7""",155,--,Southpaw,"Nov 16, 1989",2.17,44,4.34,48,1.36,33,0,0
1614,Aliaskhab Khizriev, 13-0-0,"5' 9""",185,"74""",Southpaw,"Aug 24, 1990",6,83,3.6,66,18,50,0,18
1615,Kevin Knabjian, 12-7-1,"5' 10""",170,--,Orthodox,"Jul 05, 1984",0,0,15.56,22,0,0,100,0
1616,Paul Kelly, 14-5-0,"5' 9""",155,"70""",Orthodox,"Sep 12, 1984",3.22,37,2.61,59,1.34,60,30,1.5
1617,Hiromitsu Kanehara, 19-27-5,"5' 10""",200,--,Orthodox,"Oct 05, 1970",0.76,22,4.39,40,0,0,40,0.4
1618,Ryo Kawamura, 18-9-4,"5' 11""",205,--,Orthodox,"Jun 29, 1981",0.6,16,3.93,39,0,0,6,0
1619,Naoyuki Kotani, 34-14-7,"5' 8""",155,"66""",Southpaw,"Dec 08, 1981",1.02,31,2.89,50,0.83,16,46,0.8
1620,Brad Kohler, 12-15-0,"5' 9""",220,--,Orthodox,"May 26, 1964",0,0,0,0,0,0,0,0
1621,Tim Kennedy, 18-6-0,"5' 11""",185,"74""",Orthodox,"Sep 01, 1979",2.78,47,1.84,62,2.58,35,70,0.7
1622,Ludovit Klein, 17-3-0,"5' 7""",145,"72""",Southpaw,"Feb 22, 1995",3.32,54,3.69,45,3.69,57,0,0
1623,Koji Kitao, 1-2-0,"6' 7""",350,--,Southpaw,"Oct 12, 1963",0,0,0,0,0,0,0,0
1624,Manel Kape, 15-6-0,"5' 5""",125,"68""",Southpaw,"Nov 14, 1993",3.67,45,4.3,48,1,28,80,0
1625,Matt Kovacs, 12-16-0,"6' 0""",244,--,Orthodox,--,1.47,22,4.87,44,1,25,0,0
1626,Yurij Kiseliov, 5-4-0,"5' 8""",185,--,Orthodox,--,4.88,87,0,0,0,0,50,0
1627,Guram Kutateladze, 12-2-0,"5' 11""",155,"72""",Orthodox,"Jan 08, 1992",2.47,43,3.47,58,0,0,68,0
1628,Cheick Kongo, 27-10-2,"6' 4""",240,"82""",Orthodox,"May 17, 1975",3.33,56,1.28,54,2.3,56,52,0.2
1629,Pannie Kianzad, 16-5-0,"5' 7""",135,"66""",Orthodox,"Dec 08, 1991",5.71,49,4.56,54,0.18,14,78,0.2
1630,Waylon Kennell, 6-2-0,"6' 0""",185,--,,--,0,0,0,0,0,0,0,0
1631,Akira Kikuchi, 16-4-0,"5' 8""",155,--,Orthodox,"Jul 23, 1978",3.67,56,0.4,14,2,40,100,0
1632,Ilya Kotau, 1-2-0,--,170,--,,--,3.94,40,4.38,44,6.57,100,100,6.6
1633,Jacob Kilburn, 8-4-0,"5' 9""",145,"72""",Orthodox,"Jun 28, 1995",2.56,33,6.78,35,0.51,5,20,0.5
1634,Jeremy Kennedy, 11-1-0,"5' 11""",145,"71""",Orthodox,"Sep 16, 1992",2.22,46,2.58,47,5.73,52,66,0
1635,Junya Kudo, 10-7-2,--,135,--,Orthodox,--,1.85,71,4.44,33,0,0,0,0
1636,Calvin Kattar, 22-5-0,"5' 11""",145,"72""",Orthodox,"Mar 26, 1988",5.07,42,8.16,50,0.37,30,89,0
1637,Jong Won Kim, 0-1-0,"5' 7""",139,--,Orthodox,--,0.84,15,3.28,63,2.81,100,0,0
1638,Alex Karalexis, 10-6-0,"5' 8""",155,"66""",Orthodox,"Sep 20, 1977",2.57,42,2.39,54,2.7,45,86,0.9
1639,Georgi Karakhanyan, 26-7-1,"5' 8""",145,--,,"May 29, 1985",4.49,39,5,54,1.41,50,33,1.9
1640,Mayana Kellem, 7-1-0,"5' 5""",135,--,Orthodox,"Jul 07, 1981",1.94,22,2.9,62,0,0,0,0
1641,Ramazan Kuramagomedov, 8-0-0,"6' 1""",170,"73""",Orthodox,"Aug 23, 1996",11.67,67,9.13,54,1,14,0,0
1642,Will Kerr, 9-3-0,"5' 10""",155,"69""",Orthodox,"Oct 21, 1982",1.91,42,6.22,33,0,0,0,14.3
1643,Tsuyoshi Kohsaka, 27-19-2,"5' 11""",225,--,Orthodox,"Mar 06, 1970",1.88,38,4.41,54,1.32,20,33,0.4
1644,Jin Oh Kim, 0-4-0,"5' 9""",205,--,Orthodox,--,5.06,25,8.43,50,0,0,66,0
1645,Derrick Krantz, 22-12-0,"5' 10""",170,"72""",Orthodox,"Jan 13, 1988",2.07,37,4.03,50,3.18,50,0,0.8
1646,Marcus Kowal, 3-1-1,--,135,--,,--,0,0,0,0,0,0,0,0
1647,John Kolosci, 15-9-0,"5' 11""",185,--,Orthodox,"Nov 26, 1974",0.21,20,0.85,50,0,0,0,0
1648,David Kaplan, 3-4-0,"5' 7""",155,--,Orthodox,"Nov 16, 1979",2.88,46,4.32,67,4.88,43,0,0.7
1649,Geza Kalman, 4-9-0,"6' 1""",200,--,,--,0,0,0,0,0,0,0,0
1650,Kiichi Kunimoto, 18-7-2 (1 NC),"5' 10""",170,"71""",Orthodox,"May 01, 1981",1.87,44,3.92,41,1.59,20,28,0.3
1651,Taiei Kin, 6-3-0,"5' 11""",185,--,Orthodox,"Jul 08, 1970",2.71,60,1.33,52,0,0,55,0
1652,Michael Knaap, 18-22-3,"6' 2""",220,--,Orthodox,"Feb 27, 1984",0,0,0,0,0,0,0,0
1653,Mark Kerr, 15-11-0 (1 NC),"6' 3""",266,--,Switch,"Dec 21, 1968",0.28,41,0.89,28,2.92,77,0,0.4
1654,Mike Kyle, 22-14-1 (2 NC),"6' 4""",205,"77""",Orthodox,"Mar 31, 1980",3.93,51,3.35,49,1.33,62,50,0.8
1655,Yana Kunitskaya, 14-5-0 (1 NC),"5' 6""",135,"68""",Orthodox,"Nov 11, 1989",4.22,57,2.62,51,1.62,53,50,0.2
1656,Lina Kvokov, 0-3-0,"5' 9""",135,--,Orthodox,--,2.31,30,12.12,19,0,0,0,0
1657,Satoru Kitaoka, 40-14-9,"5' 6""",154,--,,"Feb 04, 1980",0.68,33,2.15,45,0.62,10,27,2.1
1658,Kaleo Kwan, 11-16-0,"5' 7""",155,--,,"Aug 01, 1970",0,0,0,0,0,0,0,0
1659,Alfred Khashakyan, 8-3-0,"5' 8""",135,"70""",Orthodox,"Jul 17, 1988",6.14,42,6.38,40,3.54,25,0,0
1660,CJ Keith, 8-4-0,"6' 0""",155,--,Orthodox,"Aug 09, 1986",0.86,50,1.82,50,0,0,62,0
1661,Chris Kelades, 9-3-0,"5' 7""",125,"68""",Orthodox,"Feb 21, 1981",2.4,43,2.64,48,1.04,18,53,0.3
1662,Oron Kahlon, 12-0-0,"5' 8""",145,--,,"Jan 03, 1981",0,0,0,0,0,0,0,0
1663,Kelly Kobold, 19-3-1,"5' 6""",135,--,Orthodox,"Feb 25, 1983",2.33,21,4.11,59,1.67,11,0,0
1664,Josh Koscheck, 17-11-0,"5' 10""",170,"73""",Orthodox,"Nov 30, 1977",1.79,36,2.27,63,2.46,48,64,0.4
1665,Roman Kopylov, 8-1-0,"6' 0""",185,"75""",Southpaw,"May 04, 1991",2.64,38,3.07,63,0,0,66,0
1666,Hisaki Kato, 8-2-0,"6' 0""",185,--,,"Sep 17, 1982",2.8,48,1.72,68,1.62,100,0,0
1667,Tsuyoshi Kurihara, 10-8-2,"5' 10""",185,--,Orthodox,"Jul 13, 1973",0,0,12,50,0,0,0,0
1668,Yuki Kondo, 60-33-9,"5' 11""",183,--,Southpaw,"Jul 17, 1975",1.14,42,2.57,51,0.76,41,37,0.5
1669,Ken Kaneko, 0-3-0,"6' 0""",161,--,Orthodox,--,0,0,0.94,42,0,0,0,3.5
1670,Dae Won Kim, 11-7-0,"5' 11""",180,--,Orthodox,--,1.75,32,2.51,36,3.43,42,0,0
1671,Emily Kagan, 3-3-0,"5' 3""",115,--,,"Jul 14, 1981",2.6,36,5.29,38,1.86,14,50,0
1672,Kai Kara-France, 22-9-0 (1 NC),"5' 4""",125,"69""",Orthodox,"Mar 26, 1993",5.02,39,3.84,66,0.53,23,86,0
1673,Sarah Kaufman, 18-4-0 (1 NC),"5' 5""",135,"66""",Orthodox,"Sep 20, 1985",6.65,46,4,62,0.38,57,81,0
1674,Casey Kenney, 16-3-1,"5' 7""",140,"68""",Southpaw,"Mar 20, 1991",4.81,42,4.3,59,1.1,39,59,0.5
1675,Tatsuya Kawajiri, 36-11-2,"5' 7""",145,"69""",Orthodox,"May 08, 1978",2.04,44,2.01,50,3.63,48,63,1.1
1676,Pascal Krauss, 11-2-0,"6' 1""",170,--,Orthodox,"Apr 19, 1987",5.45,47,3.88,59,1.53,50,60,0.9
1677,Kai Kamaka, 8-4-0,"5' 7""",145,"69""",Orthodox,"Jan 05, 1995",5.63,56,6.26,54,2.66,77,41,0.4
1678,Tony Kelley, 7-2-0,"5' 9""",135,"70""",Switch,"Jan 21, 1987",4.57,47,4.77,43,0,0,50,2
1679,Jeremy Kimball, 15-8-0,"6' 0""",205,"72""",Switch,"Jan 03, 1991",2.81,46,3.84,49,1.41,20,50,0
1680,William Knight, 9-2-0,"5' 10""",205,"73""",Orthodox,"Apr 03, 1988",3.56,74,2.56,34,2.56,53,40,0.3
1681,Jarrod Kwitty, 2-2-0,"5' 8""",185,--,,--,0.53,50,4.4,32,8,50,0,2
1682,Drakkar Klose, 11-2-1,"5' 9""",155,"70""",Orthodox,"Mar 09, 1988",3.89,53,3.64,53,1.56,30,68,0
1683,Iouri Kotchkine, 7-4-1,"6' 2""",235,--,Orthodox,--,0.67,38,4.92,15,0,0,25,0
1684,Denis Kang, 35-16-2 (2 NC),"5' 11""",185,"77""",Orthodox,"Sep 17, 1977",2.27,35,1.65,67,2.51,65,38,1.2
1685,Seth Kleinbeck, 8-4-0,"6' 2""",185,--,,"Jul 25, 1973",2.55,33,2.42,40,0.98,25,90,0
1686,Korey Kuppe, 8-4-0,"6' 5""",170,"77""",Switch,"Jan 23, 1989",0.73,73,1.33,31,0,0,69,1
1687,Impa Kasanganay, 9-1-0,"5' 11""",170,"75""",Orthodox,"Jan 17, 1994",5.08,49,3.41,59,1.83,58,63,0.3
1688,Sokun Koh, 4-1-0,"6' 1""",205,--,,--,0,0,0,0,0,0,0,0
1689,Andrey Koreshkov, 19-2-0,"6' 0""",170,--,,"Aug 23, 1990",2.84,39,1.92,63,4.8,53,0,0
1690,Ron Keslar, 11-9-0,--,185,--,,--,0,0,2.05,60,0,0,100,7.7
1691,John Kuhner, 1-2-0,--,170,--,,"Oct 12, 1982",0,0,0,0,0,0,0,0
1692,Rizvan Kuniev, 9-2-1,"6' 4""",260,--,,"Mar 10, 1992",0,0,0,0,0,0,0,0
1693,Katsunori Kikuno, 24-8-2,"5' 8""",145,"66""",Orthodox,"Oct 31, 1981",2.64,40,2.47,61,1.88,75,76,0.8
1694,Kamuela Kirk, 12-4-0,"5' 10""",145,"75""",Switch,"Apr 13, 1994",3.27,52,5.8,30,1.18,40,58,1.8
1695,Rustam Khabilov, 24-4-0,"5' 8""",155,"73""",Orthodox,"Nov 04, 1986",1.98,34,2.16,65,3.95,41,61,0.1
1696,Steve Kennedy, 24-8-0,"5' 11""",170,--,Orthodox,"Mar 07, 1983",2.28,35,5.52,45,2.51,33,0,0
1697,Tetsuji Kato, 20-10-0,--,155,--,Orthodox,--,1.2,29,2.1,70,2,57,80,0.5
1698,John Kelly, 5-4-0,"5' 9""",170,--,,"Aug 02, 1978",0,0,0,0,0,0,0,0
1699,Yusuke Kawaguchi, 18-12-0,"6' 0""",255,--,,"Aug 14, 1980",2.87,47,3.93,50,0,0,72,0
1700,Sirwan Kakai, 12-5-0,"5' 5""",135,--,Orthodox,"Oct 03, 1989",3.57,41,4.63,62,4,42,83,0
1701,Daniel Kelly, 13-4-0,"6' 0""",185,"70""",Southpaw,"Oct 31, 1977",3.62,38,4.64,61,1.86,34,78,0.3
1702,Nadia Kassem, 5-2-0,"5' 5""",125,"66""",Southpaw,"Nov 15, 1995",3.13,41,4.48,48,0.46,33,40,2.8
1703,Andrei Kopylov, 6-11-0,"6' 2""",265,--,Orthodox,"Jul 16, 1965",0.33,66,4.31,40,0,0,0,0
1704,Brian Kelleher, 22-12-0,"5' 6""",145,"66""",Switch,"Aug 19, 1986",3.92,39,5.47,53,1,25,59,0.7
1705,Kaloyan Kolev, 10-0-0,--,205,--,,--,0,0,0,0,0,0,0,0
1706,Erik Koch, 16-6-0,"5' 10""",170,"71""",Southpaw,"Oct 04, 1988",2.33,42,2.82,47,1.02,42,81,1
1707,Jong Man Kim, 23-11-3 (1 NC),"5' 7""",139,--,Orthodox,"Mar 03, 1978",1.33,21,3,60,0,0,0,0
1708,Sergei Kharitonov, 26-6-0,"6' 0""",245,--,Orthodox,"Aug 18, 1980",3.9,44,3.03,54,1.16,53,70,1
1709,Justine Kish, 7-4-0,"5' 5""",125,"64""",Orthodox,"Apr 13, 1988",4.51,48,4.59,57,0.87,33,50,0.1
1710,Shingo Kohara, 1-0-0,"5' 6""",135,--,,--,0,0,0,0,0,0,0,0
1711,Karolina Kowalkiewicz, 12-6-0,"5' 3""",115,"64""",Orthodox,"Oct 15, 1985",5.27,39,5.65,56,0.1,12,75,0.1
1712,Martin Kampmann, 20-7-0,"6' 0""",170,"72""",Orthodox,"Apr 17, 1982",3.22,42,3.28,62,1.86,41,78,2
1713,Anton Kuivanen, 24-10-0,"5' 8""",155,"72""",Orthodox,"May 01, 1984",2.27,38,1.63,67,1.2,100,71,0.4
1714,Kyle Kingsbury, 11-6-0 (1 NC),"6' 4""",205,"79""",Orthodox,"Mar 22, 1982",2.97,40,3.81,51,2.64,41,52,0
1715,Isao Kobayashi, 21-4-4,"5' 8""",145,--,,"Oct 28, 1988",1.01,33,1.66,45,2.17,100,100,0
1716,Sanae Kikuta, 31-9-3 (1 NC),"5' 9""",200,--,Orthodox,"Sep 10, 1971",0.7,45,0.9,52,1.6,63,25,1.8
1717,Julie Kedzie, 16-13-0,"5' 5""",135,--,Orthodox,"Mar 18, 1981",2.9,36,3.18,46,1.14,23,78,0
1718,Dong Hyun Kim, 22-4-1 (1 NC),"6' 2""",170,"76""",Southpaw,"Nov 17, 1981",2.12,49,1.89,58,2.93,43,71,0.6
1719,Jong Wang Kim, 13-23-0,"6' 1""",240,--,,--,0,0,0,0,0,0,0,0
1720,Patrick Kaase, 1-2-0,"5' 9""",185,--,,--,4.4,67,0.53,50,0,0,50,0
1721,Leo Kuntz, 18-4-1,"5' 10""",155,--,Orthodox,"Oct 03, 1983",1.68,32,3.8,45,1.99,25,33,0.7
1722,Charlie Kohler, 8-4-1,"5' 9""",155,--,Orthodox,"Jul 16, 1976",0.81,33,4.31,46,0,0,0,4
1723,Canaan Kawaihae, 4-1-0 (1 NC),"6' 0""",145,--,Southpaw,"Aug 26, 1997",2.33,72,5.4,34,0,0,100,0
1724,Keigo Kunihara, 3-2-0,"6' 0""",235,--,Orthodox,--,0.17,10,1.99,57,4.97,40,100,2.5
1725,Dustin Kimura, 11-3-0,"5' 7""",135,"71""",Orthodox,"May 21, 1989",1.33,21,3.82,51,0.93,37,50,2.2
1726,Michael Kuiper, 15-5-0,"6' 0""",185,"73""",Orthodox,"Jun 07, 1989",3.28,54,3.62,54,2.3,55,79,0
1727,Bharat Kandare, 5-3-0,"5' 7""",135,"72""",Orthodox,"Jun 20, 1987",0.7,10,1.88,72,0,0,0,0
1728,Aurelijus Kerpe, 11-22-0,--,--,--,Orthodox,--,1.26,16,8.21,31,0,0,0,0
1729,Steve Kozola, 8-0-0,--,155,--,,--,3.9,39,4.36,50,2.34,100,100,0
1730,Rene Kronvold, 5-1-0,"5' 8""",170,--,Orthodox,--,0.82,100,2.47,60,0,0,66,4.1
1731,Jason Knight, 20-5-0,"5' 10""",145,"71""",Orthodox,"Jul 14, 1992",2.95,33,3.02,51,1.31,31,47,1.7
1732,Mike King, 5-1-0,"6' 3""",185,--,,"Aug 04, 1983",4.44,58,1.29,72,1.75,25,40,3.5
1733,Aleksei Kunchenko, 20-2-0,"5' 8""",170,"70""",Orthodox,"May 02, 1984",3.67,44,2.83,63,0.25,33,80,0
1734,Kyle Kurtz, 7-5-0,--,170,--,,--,1.31,36,2.95,52,1.23,20,0,2.5
1735,Eldari Kurtanidze, 0-1-0,"5' 6""",235,--,Orthodox,"Apr 16, 1972",0.47,20,3.72,60,0,0,0,0
1736,Doug Kay, 0-0-0,--,--,--,,--,0,0,0,0,0,0,0,0
1737,Adam Khaliev, 6-0-0,"6' 0""",170,--,Orthodox,"Apr 16, 1984",0,0,0,0,0,0,0,0
1738,Masanori Kanehara, 26-12-5,"5' 7""",135,"67""",Orthodox,"Nov 19, 1982",1.88,49,1.63,62,1.44,50,63,0.9
1739,Rob Kimmons, 25-9-0,"5' 10""",185,"73""",Orthodox,"Jan 30, 1981",1.86,48,4.79,38,2.08,46,25,2.4
1740,Stefan Klever, 6-1-0,--,185,--,Orthodox,--,0.82,50,3.84,58,0,0,0,0
1741,Nikita Krylov, 27-8-0,"6' 3""",205,"77""",Orthodox,"Mar 07, 1992",4.33,56,2.52,43,1.34,33,55,1.3
1742,Maiju Kujala, 6-3-0,--,135,--,,--,2.5,40,5.5,36,0,0,50,0
1743,Ji Yeon Kim, 9-3-2,"5' 7""",125,"72""",Orthodox,"Oct 18, 1989",4.5,34,4.94,57,0,0,42,0
1744,Min Soo Kim, 3-7-0,"6' 1""",255,--,Southpaw,"Jan 22, 1975",0.87,100,3.48,20,0,0,0,0
1745,Bryson Kamaka, 12-20-1 (1 NC),"5' 11""",170,--,Orthodox,--,9.47,60,12.63,0,0,0,100,0
1746,Mariusz Ksiazkiewicz, 8-1-0,"6' 3""",185,"75""",Southpaw,"Oct 04, 1989",0.93,45,3.4,39,4,100,0,2
1747,Kyung Ho Kang, 17-8-0 (1 NC),"5' 9""",135,"73""",Orthodox,"Sep 09, 1987",2.52,44,2.43,58,2.53,59,71,1.1
1748,Sergey Khandozhko, 27-6-1,"6' 1""",170,"74""",Orthodox,"May 19, 1992",2.83,42,1.7,60,0.5,16,64,0
1749,Syuri Kondo, 6-3-0,"5' 4""",115,"66""",Orthodox,"Feb 08, 1989",5.4,44,7.22,58,0,0,83,0.3
1750,Jorgen Kruth, 5-0-0,"6' 2""",205,--,,"May 08, 1974",0,0,0,0,0,0,0,0
1751,James Krause, 28-9-0,"6' 2""",170,"73""",Orthodox,"Jun 04, 1986",4.79,49,4.11,61,0.96,18,59,0.9
1752,Anthony Lapsley, 23-7-0 (2 NC),"5' 9""",170,--,Southpaw,"Feb 13, 1980",0.53,34,0.58,66,0,0,20,0
1753,Lv Zhenhong, 16-6-0,"5' 8""",145,"67""",Switch,"Jun 25, 1993",0,0,0,0,0,0,0,0
1754,Thomas Longacre, 6-1-0,"5' 9""",145,--,Orthodox,--,0,0,0,0,0,0,0,0
1755,Mabelly Lima, 7-1-0,"5' 2""",135,--,Orthodox,"Jan 25, 1994",3.07,63,5.67,44,0,0,100,0
1756,Jose Landi-Jons, 29-16-0,"5' 11""",170,--,Orthodox,"Sep 09, 1973",0.99,40,0.77,43,2.2,80,40,2.2
1757,Chris Lytle, 31-18-5,"5' 11""",170,"68""",Orthodox,"Aug 18, 1974",3.76,45,3.03,58,0.7,55,55,2.4
1758,Jerome LeBanner, 3-2-0,"6' 3""",265,--,Southpaw,"Dec 26, 1972",0.92,35,1.03,37,0,0,50,0
1759,Philipe Lins, 14-5-0,"6' 2""",240,"78""",Orthodox,"Aug 17, 1985",2.66,40,3.68,49,0,0,0,0
1760,Tae Hyun Lee, 1-2-0,"6' 6""",295,--,Orthodox,"Jan 17, 1975",1.37,31,3.89,54,5.15,100,0,0
1761,Federico Lopez, 10-6-0,"5' 4""",139,--,Orthodox,--,1.78,23,5.35,30,0,0,0,0
1762,Cheyden Leialoha, 6-0-0,"5' 8""",135,"73""",Orthodox,"Mar 15, 1994",1.87,28,3.2,53,2,33,71,0
1763,Lina Lansberg, 10-5-0,"5' 7""",135,"65""",Orthodox,"Mar 13, 1982",2.76,57,3.7,44,0.71,33,50,0.1
1764,Taylor Lapilus, 11-2-0,"5' 6""",135,"73""",Southpaw,"Apr 08, 1992",3.77,45,2,61,0.58,40,81,0.6
1765,Jenel Lausa, 7-5-0,"5' 5""",125,"68""",Orthodox,"Aug 01, 1988",1.44,42,3.53,53,0.55,66,51,0.8
1766,Anthony Leone, 15-8-0,"5' 6""",135,--,Orthodox,"May 27, 1987",1.94,53,2.52,56,1.72,18,0,0
1767,Sherron Leggett, 21-6-0,"5' 8""",155,--,Southpaw,"Oct 27, 1978",2.86,51,2.08,47,5.19,80,33,0
1768,Jess Liaudin, 20-11-0,"5' 9""",170,"72""",Orthodox,--,2.46,51,2.76,41,3.28,53,30,1.6
1769,Chris Leben, 22-11-0,"5' 11""",185,"73""",Southpaw,"Jul 21, 1980",2.87,42,2.87,52,1.14,41,53,0.8
1770,Hyun Gyu Lim, 13-7-1,"6' 3""",170,"77""",Orthodox,"Jan 16, 1985",4.45,41,5.07,51,0.23,100,73,0.2
1771,Chuck Liddell, 21-8-0,"6' 2""",205,"76""",Orthodox,"Dec 17, 1969",2.97,35,2.71,56,0.44,75,81,0
1772,Nate Loughran, 11-2-0,"6' 2""",185,--,Orthodox,"Jul 28, 1980",1.81,40,4.11,59,0,0,0,2.1
1773,Kemran Lachinov, 3-2-0,--,170,--,,--,0,0,0,0,0,0,0,0
1774,Tommy Lee, 25-6-0 (1 NC),"5' 7""",145,--,Orthodox,"Jan 20, 1977",0,0,0.3,75,4.57,33,0,0
1775,Jackie Lee, 0-1-0,--,--,--,,--,0,0,0,0,0,0,0,0
1776,Eun Soo Lee, 17-4-0 (1 NC),"6' 1""",215,--,Orthodox,"Mar 07, 1982",0,0,3.05,60,0,0,50,0
1777,Andrea Lee, 12-5-0,"5' 6""",125,"69""",Orthodox,"Feb 11, 1989",5.48,50,3.68,64,1.95,52,57,0.9
1778,Chad Leonhardt, 9-4-0,"6' 0""",170,--,,"Feb 19, 1980",0,0,0,0,0,0,0,0
1779,Todd Lally, 2-1-0,"5' 7""",145,--,Orthodox,--,0,0,0,0,0,0,0,0
1780,Bevon Lewis, 7-3-0,"6' 3""",185,"79""",Orthodox,"May 05, 1991",3.73,43,2.67,54,0,0,66,0
1781,Li Jingliang, 18-6-0,"6' 0""",170,"71""",Orthodox,"Mar 20, 1988",4.52,42,3.65,59,1.28,39,59,0
1782,Sean Loeffler, 31-5-0,"6' 3""",185,--,Orthodox,"May 23, 1982",0,0,0,0,0,0,0,0
1783,Brock Lesnar, 5-3-0 (1 NC),"6' 3""",265,"81""",Orthodox,"Jul 12, 1977",3.53,72,2.11,50,3.9,55,60,0.5
1784,Rocky Long, 21-37-1,--,145,--,,"Feb 18, 1978",0,0,0,0,0,0,0,0
